Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-04-17,25-108,CLE,,CHI,W (+13),1,40:14,9,19,0.474,0,1,0.000,6,7,0.857,0,6,6,5,1,4,3,2,24,19.2,19
2,2,2010-04-19,25-110,CLE,,CHI,W (+10),1,41:05,16,23,0.696,2,4,0.500,6,6,1.000,1,7,8,8,1,2,2,2,40,38.3,6
3,3,2010-04-22,25-113,CLE,@,CHI,L (-2),1,44:16,14,26,0.538,4,8,0.500,7,13,0.538,2,8,10,8,2,3,5,3,39,31.3,5
4,4,2010-04-25,25-116,CLE,@,CHI,W (+23),1,36:24,11,17,0.647,6,9,0.667,9,10,0.900,0,12,12,11,2,1,2,3,37,39.9,29
5,5,2010-04-27,25-118,CLE,,CHI,W (+2),1,43:13,5,12,0.417,1,2,0.500,8,14,0.571,3,7,10,9,0,2,3,1,19,18.7,1
6,6,2010-05-01,25-122,CLE,,BOS,W (+8),1,43:12,12,24,0.500,3,6,0.500,8,11,0.727,2,5,7,7,3,2,2,1,35,31.6,7
7,7,2010-05-03,25-124,CLE,,BOS,L (-18),1,41:09,7,15,0.467,0,4,0.000,10,15,0.667,0,7,7,4,3,2,5,1,24,18.2,-16
8,8,2010-05-07,25-128,CLE,@,BOS,W (+29),1,39:16,14,22,0.636,2,3,0.667,8,9,0.889,2,6,8,7,1,2,1,1,38,36.9,30
9,9,2010-05-09,25-130,CLE,@,BOS,L (-10),1,43:14,7,18,0.389,0,5,0.000,8,11,0.727,1,8,9,8,2,1,7,4,22,13.8,-10
10,10,2010-05-11,25-132,CLE,,BOS,L (-32),1,41:40,3,14,0.214,0,4,0.000,9,12,0.750,1,5,6,7,1,0,3,3,15,9.1,-22
11,11,2010-05-13,25-134,CLE,@,BOS,L (-9),1,46:12,8,21,0.381,2,4,0.500,9,12,0.750,3,16,19,10,3,1,9,2,27,22.1,-5
